,Result,Size Result,Is MIS,Time,Warnings
,memetic,memetic,memetic,memetic,memetic
gen400_p0.9_65.txt n=400 e=71820,"[56, 65, 73, 252, 332, 337, 346]",7,True,152.62072467803955,
gen400_p0.9_75.txt n=400 e=71820,"[52, 105, 199, 211, 223, 297]",6,True,147.57501649856567,
hamming10-4.clq.txt n=1024 e=434176,set(),0,False,1800.0,TIMEOUT
hamming8-4.clq.txt n=256 e=20864,"[0, 4, 5, 6, 8, 12, 13, 14, 20, 28, 36, 44, 68, 76, 132, 140]",16,True,20.83671474456787,
keller4.clq.txt n=171 e=9435,"[20, 21, 24, 25, 30, 31, 33, 57, 58, 61, 62, 67, 68, 70]",14,True,9.18975567817688,
keller5.clq.txt n=776 e=225990,"[9, 10, 11, 21, 22, 25, 26, 45, 46, 47, 58, 59, 62, 63, 182, 183, 184, 195, 196, 199, 200, 219, 220, 221, 232, 233, 236, 237]",28,True,909.8007352352142,
MANN_a27.clq.txt n=378 e=70551,"[27, 28, 29]",3,True,128.330956697464,
MANN_a45.clq.txt n=1035 e=533115,set(),0,False,1800.0,TIMEOUT
p_hat1500-1.clq.txt n=1500 e=284923,set(),0,False,1800.0,TIMEOUT
p_hat1500-2.clq.txt n=1500 e=284923,set(),0,False,1800.0,TIMEOUT
p_hat1500-3.clq.txt n=1500 e=847244,set(),0,False,1800.0,TIMEOUT
p_hat300-2.clq.txt n=300 e=21928,"[7, 11, 13, 15, 16, 52, 59, 68, 98, 111, 115, 131, 154, 166, 168, 177, 185, 193, 206, 223, 229, 232, 233, 240, 242, 247, 277]",27,True,26.039732217788696,
p_hat300-3.clq.txt n=300 e=33390,"[33, 38, 98, 200, 206, 228, 233, 241, 248]",9,True,47.32652497291565,
p_hat300_1.clq.txt n=300 e=10933,"[0, 1, 7, 9, 11, 13, 22, 33, 45, 59, 63, 64, 68, 72, 84, 98, 110, 113, 115, 131, 133, 141, 142, 154, 166, 168, 182, 185, 186, 188, 201, 209, 237, 240, 242, 247, 277, 281, 294]",39,True,13.427265167236328,
p_hat700-1.clq.txt n=700 e=60999,"[1, 5, 12, 21, 28, 32, 34, 41, 44, 46, 66, 88, 89, 101, 119, 133, 136, 137, 138, 139, 142, 167, 181, 195, 230, 231, 235, 241, 263, 266, 288, 304, 310, 315, 319, 337, 348, 373, 380, 382, 398, 403, 404, 425, 442, 462, 466, 475, 482, 493, 513, 518, 529, 535, 542, 563, 566, 585, 595, 641, 656, 671, 678]",63,True,169.24025321006775,
p_hat700-2.clq.txt n=700 e=121728,"[12, 21, 32, 46, 52, 54, 88, 94, 119, 120, 133, 136, 145, 159, 197, 219, 230, 241, 263, 288, 304, 308, 348, 373, 380, 382, 404, 414, 418, 462, 466, 471, 475, 482, 493, 528, 535, 546, 547, 563, 601, 616, 634, 644, 654, 656, 673, 678]",48,True,459.16083884239197,
p_hat700-3.clq.txt n=700 e=183010,"[12, 41, 45, 97, 113, 337, 377, 445, 461, 645]",10,True,715.6446130275726,
